tax_id,tax_level,genus_tax_id,name,common_name,category,is_phage,agg_score,max_z_score,nt_z_score,nt_rpm,nt_count,nt_contigs,nt_contig_r,nt_percent_identity,nt_alignment_length,nt_e_value,nt_bg_mean,nt_bg_stdev,nt_bg_mean_mass_normalized,nt_bg_stdev_mass_normalized,nr_z_score,nr_rpm,nr_count,nr_contigs,nr_contig_r,nr_percent_identity,nr_alignment_length,nr_e_value,nr_bg_mean,nr_bg_stdev,nr_bg_mean_mass_normalized,nr_bg_stdev_mass_normalized,species_tax_ids,known_pathogen
1715798,2,1715798,Levyella,"",bacteria,false,,,,,,,,,,,,,,,,646.8305304010349,1,,,97.6,41.0,10^-16.3261,,,,,[938289],0
938289,1,1715798,Levyella massiliensis,"",bacteria,false,,,,,,,,,,,,,,,,646.8305304010349,1,,,97.6,41.0,10^-16.3261,,,,,,0
1193515,2,1193515,Snodgrassella,"",bacteria,false,,,,,,,,,,,,,,,,646.8305304010349,1,,,100.0,24.0,10^-5.65956,,,,,[1196083],0
1196083,1,1193515,Snodgrassella alvi,"",bacteria,false,,,,,,,,,,,,,,,,646.8305304010349,1,,,100.0,24.0,10^-5.65956,,,,,,0
1161127,2,1161127,Murdochiella,"",bacteria,false,,,,646.8305304010349,1,,,90.099,101.0,10^-42.6564,,,,,,,,,,,,,,,,,[1852373],0
1852373,1,1161127,Murdochiella vaginalis,"",bacteria,false,,,,646.8305304010349,1,,,90.099,101.0,10^-42.6564,,,,,,,,,,,,,,,,,,0
572511,2,572511,Blautia,"",bacteria,false,,,,1293.6610608020699,2,,,86.3175,67.0,10^-20.1976,,,,,,,,,,,,,,,,,"[2479767, 33035]",0
2479767,1,572511,Blautia sp. SC05B48,"",bacteria,false,,,,646.8305304010349,1,,,89.091,55.0,10^-16.8453,,,,,,,,,,,,,,,,,,0
33035,1,572511,Blautia producta,"",bacteria,false,,,,646.8305304010349,1,,,83.544,79.0,10^-23.5499,,,,,,,,,,,,,,,,,,0
543311,2,543311,Parvimonas,"",bacteria,false,,,,2587.3221216041397,4,,,99.008,126.0,10^-71.7232,,,,,,2587.3221216041397,4,,,98.175,41.5,10^-16.8429,,,,,[33033],1
