contig_name,read_count,contig_length,contig_coverage,NT.species_taxid,NT.genus_taxid,NT.family_taxid,NT.order_taxid,NT.class_taxid,NT.phylum_taxid,NT.kingdom_taxid,NT.superkingdom_taxid,NT.superkingdom_name,NT.Accession,NT.Percentage Identity,NT.Alignment Length,NT.Number of mismatches,NT.E-value,NT.Bitscore,NR.species_taxid,NR.genus_taxid,NR.family_taxid,NR.order_taxid,NR.class_taxid,NR.phylum_taxid,NR.kingdom_taxid,NR.superkingdom_taxid,NR.superkingdom_name,NR.Accession,NR.Percentage Identity,NR.Alignment Length,NR.Number of mismatches,NR.E-value,NR.Bitscore
NODE_1_length_3838_cov_5.067269,312,3838,5.067269,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,2980575,1980421,1980418,1980410,2497576,2497569,2732396,10239,Viruses,UYL94376.1,59.53,1191,476,0.0,1452.0
NODE_10_length_1408_cov_1.861758,77,1408,1.861758,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_100_length_764_cov_0.557496,23,764,0.557496,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1000_length_365_cov_0.840278,4,365,0.840278,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,2010268,-200,-300,-400,-500,-600,-650,10239,Viruses,YP_009388604.1,43.443,122,68,8.83e-22,84.7
NODE_1001_length_365_cov_0.822917,6,365,0.822917,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1003_length_365_cov_0.774306,6,365,0.774306,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1007_length_364_cov_2.076655,14,364,2.076655,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1008_length_364_cov_1.355401,6,364,1.355401,7160,7158,7157,7147,50557,6656,33208,2759,Eukaryota,AJ970991.1,93.252,326,22,1.03e-132,481.0,7160,7158,7157,7147,50557,6656,33208,2759,Eukaryota,CAI96413.1,90.741,108,10,6.16e-59,177.0
NODE_1009_length_364_cov_1.010453,4,364,1.010453,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,7160,7158,7157,7147,50557,6656,33208,2759,Eukaryota,XP_029709932.1,75.0,80,20,1.17e-32,119.0
NODE_101_length_762_cov_0.588321,8,762,0.588321,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1010_length_364_cov_0.940767,4,364,0.940767,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1011_length_364_cov_0.843206,4,364,0.843206,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,7160,7158,7157,7147,50557,6656,33208,2759,Eukaryota,XP_019542030.2,94.167,120,7,4.89e-76,243.0
NODE_1012_length_364_cov_0.843206,4,364,0.843206,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1014_length_363_cov_1.552448,6,363,1.552448,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,7176,7174,7157,7147,50557,6656,33208,2759,Eukaryota,XP_001861395.2,47.297,74,39,4.03e-17,75.1
NODE_1015_length_363_cov_0.975524,4,363,0.975524,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,343691,343581,34687,7147,50557,6656,33208,2759,Eukaryota,XP_037911296.1,69.565,115,35,1.04e-51,173.0
NODE_1016_length_363_cov_0.776224,5,363,0.776224,7160,7158,7157,7147,50557,6656,33208,2759,Eukaryota,XM_029861709.1,85.886,333,47,6.47e-95,355.0,7160,7158,7157,7147,50557,6656,33208,2759,Eukaryota,KXJ82170.1,90.654,107,10,2.31e-66,209.0
NODE_102_length_758_cov_0.657856,8,758,0.657856,7160,7158,7157,7147,50557,6656,33208,2759,Eukaryota,XR_003894857.1,88.028,142,12,9.21e-37,163.0,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1020_length_363_cov_0.569930,5,363,0.569930,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1021_length_363_cov_0.555944,4,363,0.555944,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
NODE_1023_length_362_cov_1.035088,4,362,1.035088,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,7176,7174,7157,7147,50557,6656,33208,2759,Eukaryota,XP_038118435.1,49.231,130,43,1.17e-21,88.2
NODE_1024_length_362_cov_0.922807,4,362,0.922807,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,7159,7158,7157,7147,50557,6656,33208,2759,Eukaryota,XP_001651647.2,79.688,64,13,1.07e-32,119.0
NODE_1025_length_362_cov_0.894737,4,362,0.894737,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,,-100,-200,-300,-400,-500,-600,-650,-700,"",,,,,,
