tax_id,tax_level,genus_tax_id,name,common_name,category,is_phage,agg_score,max_z_score,nt_z_score,nt_rpm,nt_count,nt_contigs,nt_contig_r,nt_percent_identity,nt_alignment_length,nt_e_value,nt_bg_mean,nt_bg_stdev,nt_bg_mean_mass_normalized,nt_bg_stdev_mass_normalized,nr_z_score,nr_rpm,nr_count,nr_contigs,nr_contig_r,nr_percent_identity,nr_alignment_length,nr_e_value,nr_bg_mean,nr_bg_stdev,nr_bg_mean_mass_normalized,nr_bg_stdev_mass_normalized,species_tax_ids,known_pathogen
2767885,2,2767885,Latilactobacillus,"",bacteria,false,,,,,,,,,,,,,,,,323.41526520051747,1,,,71.8,39.0,10^-8.12436,,,,,[1599],0
1599,1,2767885,Latilactobacillus sakei,"",bacteria,false,,,,,,,,,,,,,,,,323.41526520051747,1,,,71.8,39.0,10^-8.12436,,,,,,0
1870884,2,1870884,Clostridioides,"",bacteria,false,,,,323.41526520051747,1,,,85.915,71.0,10^-22.2239,,,,,,,,,,,,,,,,,[1496],1
1496,1,1870884,Clostridioides difficile,"",bacteria,false,,,,323.41526520051747,1,,,85.915,71.0,10^-22.2239,,,,,,,,,,,,,,,,,,1
1729679,2,1729679,Faecalibaculum,"",bacteria,false,,,,,,,,,,,,,,,,323.41526520051747,1,,,71.4,42.0,10^-12.2351,,,,,[1702221],0
1702221,1,1729679,Faecalibaculum rodentium,"",bacteria,false,,,,,,,,,,,,,,,,323.41526520051747,1,,,71.4,42.0,10^-12.2351,,,,,,0
1715798,2,1715798,Levyella,"",bacteria,false,,,,,,,,,,,,,,,,323.41526520051747,1,,,97.6,41.0,10^-16.3261,,,,,[938289],0
938289,1,1715798,Levyella massiliensis,"",bacteria,false,,,,,,,,,,,,,,,,323.41526520051747,1,,,97.6,41.0,10^-16.3261,,,,,,0
1505663,2,1505663,Erysipelatoclostridium,"",bacteria,false,,,,,,,,,,,,,,,,323.41526520051747,1,,,92.7,41.0,10^-17.2668,,,,,[1965566],0
1965566,1,1505663,Erysipelatoclostridium sp. An15,"",bacteria,false,,,,,,,,,,,,,,,,323.41526520051747,1,,,92.7,41.0,10^-17.2668,,,,,,0
1193515,2,1193515,Snodgrassella,"",bacteria,false,,,,,,,,,,,,,,,,323.41526520051747,1,,,100.0,24.0,10^-5.65956,,,,,[1196083],0
1196083,1,1193515,Snodgrassella alvi,"",bacteria,false,,,,,,,,,,,,,,,,323.41526520051747,1,,,100.0,24.0,10^-5.65956,,,,,,0
