tax_id,tax_level,genus_tax_id,name,common_name,category,is_phage,agg_score,max_z_score,nt_z_score,nt_rpm,nt_count,nt_contigs,nt_contig_r,nt_percent_identity,nt_alignment_length,nt_e_value,nt_bg_mean,nt_bg_stdev,nt_bg_mean_mass_normalized,nt_bg_stdev_mass_normalized,nr_z_score,nr_rpm,nr_count,nr_contigs,nr_contig_r,nr_percent_identity,nr_alignment_length,nr_e_value,nr_bg_mean,nr_bg_stdev,nr_bg_mean_mass_normalized,nr_bg_stdev_mass_normalized,species_tax_ids,known_pathogen
2767887,2,2767887,Ligilactobacillus,"",bacteria,false,,,,5.724524435132551,2,,,100.0,130.0,10^-76.1698,,,,,,,,,,,,,,,,,[1624],0
1624,1,2767887,Ligilactobacillus salivarius,"",bacteria,false,,,,5.724524435132551,2,,,100.0,130.0,10^-76.1698,,,,,,,,,,,,,,,,,,0
2767881,2,2767881,Fructilactobacillus,"",bacteria,false,,,,,,,,,,,,,,,,34.347146610795306,12,1,12,79.412,68.0,10^-30.9547,,,,,[1625],0
1625,1,2767881,Fructilactobacillus sanfranciscensis,"",bacteria,false,,,,,,,,,,,,,,,,34.347146610795306,12,1,12,79.412,68.0,10^-30.9547,,,,,,0
2706000,2,2706000,Casimicrobium,"",bacteria,false,,,,2.8622622175662755,1,,,93.103,58.0,10^-21.6255,,,,,,,,,,,,,,,,,[2591109],0
2591109,1,2706000,Casimicrobium huifangae,"",bacteria,false,,,,2.8622622175662755,1,,,93.103,58.0,10^-21.6255,,,,,,,,,,,,,,,,,,0
2705399,2,2705399,Hypericibacter,"",bacteria,false,,,,,,,,,,,,,,,,2.8622622175662755,1,,,55.6,45.0,10^-7.54821,,,,,[2602015],0
2602015,1,2705399,Hypericibacter terrae,"",bacteria,false,,,,,,,,,,,,,,,,2.8622622175662755,1,,,55.6,45.0,10^-7.54821,,,,,,0
2282523,2,2282523,Methylorubrum,"",bacteria,false,,,,11.449048870265102,4,,,96.9025,144.5,10^-60.8132,,,,,,5.724524435132551,2,,,98.667,75.0,10^-47.9626,,,,,"[223967, 408]",1
223967,1,2282523,Methylorubrum populi,"",bacteria,false,,,,5.724524435132551,2,,,100.0,63.0,10^-30.51,,,,,,5.724524435132551,2,,,98.667,75.0,10^-47.9626,,,,,,0
408,1,2282523,Methylorubrum extorquens,"",bacteria,false,,,,5.724524435132551,2,,,93.805,226.0,10^-91.1163,,,,,,,,,,,,,,,,,,1
1938003,2,1938003,Thermoflexibacter,"",bacteria,false,,,,,,,,,,,,,,,,2.8622622175662755,1,,,95.8,48.0,10^-22.9318,,,,,[1003],0
1003,1,1938003,Thermoflexibacter ruber,"",bacteria,false,,,,,,,,,,,,,,,,2.8622622175662755,1,,,95.8,48.0,10^-22.9318,,,,,,0
1912216,2,1912216,Cutibacterium,"",bacteria,false,,,,14.311311087831378,5,,,99.863,146.0,10^-86.8239,,,,,,11.449048870265102,4,,,100.0,48.0,10^-27.5762,,,,,[1747],0
1747,1,1912216,Cutibacterium acnes,"",bacteria,false,,,,14.311311087831378,5,,,99.863,146.0,10^-86.8239,,,,,,11.449048870265102,4,,,100.0,48.0,10^-27.5762,,,,,,0
1868215,2,1868215,Orthopneumovirus,"",viruses,false,,,,8128.8246978882225,2840,3,2835,99.7982,7426.16,10^-306.156,,,,,,8120.237911235524,2837,3,2835,97.8743,1283.63,10^-305.794,,,,,[11250],1
11250,1,1868215,Human orthopneumovirus,"",viruses,false,,,,8128.8246978882225,2840,3,2835,99.7982,7426.16,10^-306.156,,,,,,8120.237911235524,2837,3,2835,97.8743,1283.63,10^-305.794,,,,,,1
1866885,2,1866885,Mycolicibacterium,"",bacteria,false,,,,,,,,,,,,,,,,2.8622622175662755,1,,,55.9,34.0,10^-3.76195,,,,,[59813],0
59813,1,1866885,Mycolicibacterium novocastrense,"",bacteria,false,,,,,,,,,,,,,,,,2.8622622175662755,1,,,55.9,34.0,10^-3.76195,,,,,,0
1822464,2,1822464,Paraburkholderia,"",bacteria,false,,,,2.8622622175662755,1,,,81.944,72.0,10^-18.7869,,,,,,,,,,,,,,,,,[148447],0
148447,1,1822464,Paraburkholderia phymatum,"",bacteria,false,,,,2.8622622175662755,1,,,81.944,72.0,10^-18.7869,,,,,,,,,,,,,,,,,,0
1778653,2,1778653,Sulfuriferula,"",bacteria,false,,,,2.8622622175662755,1,,,86.986,146.0,10^-61.0233,,,,,,,,,,,,,,,,,[171865],0
171865,1,1778653,Sulfuriferula plumbiphila,"",bacteria,false,,,,2.8622622175662755,1,,,86.986,146.0,10^-61.0233,,,,,,,,,,,,,,,,,,0
1649475,2,1649475,Paludibaculum,"",bacteria,false,,,,2.8622622175662755,1,,,97.368,38.0,10^-12.2026,,,,,,,,,,,,,,,,,[1473598],0
1473598,1,1649475,Paludibaculum fermentans,"",bacteria,false,,,,2.8622622175662755,1,,,97.368,38.0,10^-12.2026,,,,,,,,,,,,,,,,,,0
1114981,2,1114981,Piscinibacter,"",bacteria,false,,,,,,,,,,,,,,,,5.724524435132551,2,,,92.75,48.0,10^-17.9426,,,,,[1796922],0
1796922,1,1114981,Piscinibacter defluvii,"",bacteria,false,,,,,,,,,,,,,,,,5.724524435132551,2,,,92.75,48.0,10^-17.9426,,,,,,0
683756,2,683756,Kinneretia,"",bacteria,false,,,,45.79619548106041,16,,,88.0012,150.375,10^-54.6839,,,,,,,,,,,,,,,,,[2714952],0
2714952,1,683756,Kinneretia sp. DAIF2,"",bacteria,false,,,,45.79619548106041,16,,,88.0012,150.375,10^-54.6839,,,,,,,,,,,,,,,,,,0
644355,2,644355,Inhella,"",bacteria,false,,,,5.724524435132551,2,,,80.6755,131.5,10^-44.2599,,,,,,2.8622622175662755,1,,,81.3,48.0,10^-14.556,,,,,"[2795029, 392593]",0
2795029,1,644355,Inhella sp. 1Y17,"",bacteria,false,,,,,,,,,,,,,,,,2.8622622175662755,1,,,81.3,48.0,10^-14.556,,,,,,0
392593,1,644355,Inhella inkyongensis,"",bacteria,false,,,,5.724524435132551,2,,,80.6755,131.5,10^-44.2599,,,,,,,,,,,,,,,,,,0
504481,2,504481,Sediminibacterium,"",bacteria,false,,,,,,,,,,,,,,,,2.8622622175662755,1,,,91.7,48.0,10^-22.5421,,,,,[1086393],0
1086393,1,504481,Sediminibacterium goheungense,"",bacteria,false,,,,,,,,,,,,,,,,2.8622622175662755,1,,,91.7,48.0,10^-22.5421,,,,,,0
379899,2,379899,Niabella,"",bacteria,false,,,,2.8622622175662755,1,,,80.137,146.0,10^-47.2996,,,,,,,,,,,,,,,,,[446683],0
446683,1,379899,Niabella soli,"",bacteria,false,,,,2.8622622175662755,1,,,80.137,146.0,10^-47.2996,,,,,,,,,,,,,,,,,,0
361177,2,361177,Altererythrobacter,"",bacteria,false,,,,,,,,,,,,,,,,2.8622622175662755,1,,,97.9,48.0,10^-22.1965,,,,,[2169535],0
2169535,1,361177,Altererythrobacter insulae,"",bacteria,false,,,,,,,,,,,,,,,,2.8622622175662755,1,,,97.9,48.0,10^-22.1965,,,,,,0
335058,2,335058,Pelomonas,"",bacteria,false,,,,,,,,,,,,,,,,260.4658617985311,91,,,92.2923,50.8977,10^-21.7883,,,,,"[2135721, 2056841, 1909303, 1855730, 1736464, 1736434, 1736430, 431059, 304]",0
2135721,1,335058,Pelomonas sp. BT06,"",bacteria,false,,,,,,,,,,,,,,,,25.76035995809648,9,,,95.1087,47.0,10^-21.9362,,,,,,0
2056841,1,335058,Pelomonas sp. HMWF004,"",bacteria,false,,,,,,,,,,,,,,,,11.449048870265102,4,,,80.9,46.0,10^-10.841,,,,,,0
1909303,1,335058,Pelomonas sp.,"",bacteria,false,,,,,,,,,,,,,,,,2.8622622175662755,1,,,72.9,48.0,10^-11.983,,,,,,0
1855730,1,335058,Pelomonas sp. KK5,"",bacteria,false,,,,,,,,,,,,,,,,11.449048870265102,4,,,96.275,47.0,10^-22.5854,,,,,,0
1736464,1,335058,Pelomonas sp. Root1444,"",bacteria,false,,,,,,,,,,,,,,,,14.311311087831378,5,,,90.8536,59.2,10^-27.0368,,,,,,0
1736434,1,335058,Pelomonas sp. Root1237,"",bacteria,false,,,,,,,,,,,,,,,,2.8622622175662755,1,,,97.9,48.0,10^-20.1537,,,,,,0
1736430,1,335058,Pelomonas sp. Root1217,"",bacteria,false,,,,,,,,,,,,,,,,8.586786652698827,3,,,97.2333,48.0,10^-22.919,,,,,,0
431059,1,335058,Pelomonas puraquae,"",bacteria,false,,,,,,,,,,,,,,,,34.347146610795306,12,,,83.3888,53.0,10^-21.9702,,,,,,0
304,1,335058,Pelomonas saccharophila,"",bacteria,false,,,,,,,,,,,,,,,,148.83763531344633,52,,,94.2428,51.3333,10^-22.1658,,,,,,0
318147,2,318147,Paucibacter,"",bacteria,false,,,,17.173573305397653,6,,,86.3785,114.667,10^-43.0796,,,,,,5.724524435132551,2,,,93.75,48.0,10^-21.5855,,,,,"[1769250, 1768242, 270368]",0
1769250,1,318147,Paucibacter oligotrophus,"",bacteria,false,,,,,,,,,,,,,,,,2.8622622175662755,1,,,100.0,48.0,10^-22.8894,,,,,,0
1768242,1,318147,Paucibacter sp. KCTC 42545,"",bacteria,false,,,,17.173573305397653,6,,,86.3785,114.667,10^-43.0796,,,,,,,,,,,,,,,,,,0
270368,1,318147,Paucibacter toxinivorans,"",bacteria,false,,,,,,,,,,,,,,,,2.8622622175662755,1,,,87.5,48.0,10^-20.2815,,,,,,0
316612,2,316612,Methylibium,"",bacteria,false,,,,8.586786652698827,3,,,92.045,93.6667,10^-41.7883,,,,,,,,,,,,,,,,,[105560],0
105560,1,316612,Methylibium petroleiphilum,"",bacteria,false,,,,8.586786652698827,3,,,92.045,93.6667,10^-41.7883,,,,,,,,,,,,,,,,,,0
303379,2,303379,Herminiimonas,"",bacteria,false,,,,2.8622622175662755,1,,,91.781,73.0,10^-29.0736,,,,,,,,,,,,,,,,,[1809410],0
1809410,1,303379,Herminiimonas arsenitoxidans,"",bacteria,false,,,,2.8622622175662755,1,,,91.781,73.0,10^-29.0736,,,,,,,,,,,,,,,,,,0
238749,2,238749,Diaphorobacter,"",bacteria,false,,,,5.724524435132551,2,,,94.685,70.5,10^-30.1274,,,,,,5.724524435132551,2,,,98.81,84.0,10^-53.4547,,,,,"[2714924, 1933219, 1715720]",0
2714924,1,238749,Diaphorobacter sp. HDW4A,"",bacteria,false,,,,2.8622622175662755,1,,,92.941,85.0,10^-37.2418,,,,,,,,,,,,,,,,,,0
1933219,1,238749,Diaphorobacter sp. LR2014-1,"",bacteria,false,,,,,,,,,,,,,,,,5.724524435132551,2,,,98.81,84.0,10^-53.4547,,,,,,0
1715720,1,238749,Diaphorobacter ruginosibacter,"",bacteria,false,,,,2.8622622175662755,1,,,96.429,56.0,10^-23.0131,,,,,,,,,,,,,,,,,,0
219181,2,219181,Ottowia,"",bacteria,false,,,,,,,,,,,,,,,,5.724524435132551,2,,,100.0,48.0,10^-24.6106,,,,,[1898956],0
1898956,1,219181,Ottowia sp.,"",bacteria,false,,,,,,,,,,,,,,,,5.724524435132551,2,,,100.0,48.0,10^-24.6106,,,,,,0
215579,2,215579,Schlegelella,"",bacteria,false,,,,17.173573305397653,6,,,89.5554,172.4,10^-66.206,,,,,,,,,,,,,,,,,[215580],0
215580,1,215579,Schlegelella thermodepolymerans,"",bacteria,false,,,,17.173573305397653,6,,,89.5554,172.4,10^-66.206,,,,,,,,,,,,,,,,,,0
212743,2,212743,Rhizobacter,"",bacteria,false,,,,5.724524435132551,2,,,88.837,215.0,10^-68.342,,,,,,2.8622622175662755,1,,,68.8,48.0,10^-13.9066,,,,,"[1500264, 946333]",0
1500264,1,212743,Rhizobacter sp. OV335,"",bacteria,false,,,,,,,,,,,,,,,,2.8622622175662755,1,,,68.8,48.0,10^-13.9066,,,,,,0
946333,1,212743,Rhizobacter gummiphilus,"",bacteria,false,,,,5.724524435132551,2,,,88.837,215.0,10^-68.342,,,,,,,,,,,,,,,,,,0
202907,2,202907,Collimonas,"",bacteria,false,,,,,,,,,,,,,,,,2.8622622175662755,1,,,70.8,48.0,10^-13.6819,,,,,[1801620],0
1801620,1,202907,Collimonas sp. OK307,"",bacteria,false,,,,,,,,,,,,,,,,2.8622622175662755,1,,,70.8,48.0,10^-13.6819,,,,,,0
201096,2,201096,Alicycliphilus,"",bacteria,false,,,,11.449048870265102,4,,,90.8915,135.5,10^-62.7728,,,,,,2.8622622175662755,1,,,79.2,48.0,10^-16.2168,,,,,[179636],0
179636,1,201096,Alicycliphilus denitrificans,"",bacteria,false,,,,11.449048870265102,4,,,90.8915,135.5,10^-62.7728,,,,,,2.8622622175662755,1,,,79.2,48.0,10^-16.2168,,,,,,0
