tax_id,tax_level,genus_tax_id,name,common_name,category,is_phage,agg_score,max_z_score,nt_z_score,nt_rpm,nt_count,nt_contigs,nt_contig_r,nt_percent_identity,nt_alignment_length,nt_e_value,nt_bg_mean,nt_bg_stdev,nt_bg_mean_mass_normalized,nt_bg_stdev_mass_normalized,nr_z_score,nr_rpm,nr_count,nr_contigs,nr_contig_r,nr_percent_identity,nr_alignment_length,nr_e_value,nr_bg_mean,nr_bg_stdev,nr_bg_mean_mass_normalized,nr_bg_stdev_mass_normalized,species_tax_ids,known_pathogen
2779867,2,2779867,Actinomortierella,"",eukaryota,false,,,,,,,,,,,,,,,,3.090483166138194,1,,,63.6,33.0,10^-4.75449,,,,,[90253],0
90253,1,2779867,Actinomortierella wolfii,"",eukaryota,false,,,,,,,,,,,,,,,,3.090483166138194,1,,,63.6,33.0,10^-4.75449,,,,,,0
2767358,2,2767358,Mycoplasmopsis,"",bacteria,false,,,,6.180966332276388,2,,,92.593,54.0,10^-18.9118,,,,,,,,,,,,,,,,,[2115],1
2115,1,2767358,Mycoplasma fermentans,"",bacteria,false,,,,6.180966332276388,2,,,92.593,54.0,10^-18.9118,,,,,,,,,,,,,,,,,,1
2742598,2,2742598,Limosilactobacillus,"",bacteria,false,,,,,,,,,,,,,,,,3.090483166138194,1,,,62.8,43.0,10^-10.1624,,,,,[1769424],0
1769424,1,2742598,Lactobacillus caviae,"",bacteria,false,,,,,,,,,,,,,,,,3.090483166138194,1,,,62.8,43.0,10^-10.1624,,,,,,0
2678623,2,2678623,Lecanopsis,"",eukaryota,false,,,,3.090483166138194,1,,,92.105,38.0,10^-9.45781,,,,,,,,,,,,,,,,,[2678624],0
2678624,1,2678623,Lecanopsis formicarum,"",eukaryota,false,,,,3.090483166138194,1,,,92.105,38.0,10^-9.45781,,,,,,,,,,,,,,,,,,0
2676858,2,2676858,Chakrabartia,"",bacteria,false,,,,,,,,,,,,,,,,3.090483166138194,1,,,86.0,50.0,10^-18.6253,,,,,[2056873],0
2056873,1,2676858,Chakrabartia godavariana,"",bacteria,false,,,,,,,,,,,,,,,,3.090483166138194,1,,,86.0,50.0,10^-18.6253,,,,,,0
2664683,2,2664683,Dimorphilus,"",eukaryota,false,,,,,,,,,,,,,,,,3.090483166138194,1,,,46.9,49.0,10^-5.85699,,,,,[2664684],0
2664684,1,2664683,Dimorphilus gyrociliatus,"",eukaryota,false,,,,,,,,,,,,,,,,3.090483166138194,1,,,46.9,49.0,10^-5.85699,,,,,,0
2663525,2,2663525,Scleroprocta,"",eukaryota,false,,,,6.180966332276388,2,,,93.49,80.0,10^-35.2184,,,,,,,,,,,,,,,,,[2663527],0
2663527,1,2663525,Scleroprocta sp. CAK242,"",eukaryota,false,,,,6.180966332276388,2,,,93.49,80.0,10^-35.2184,,,,,,,,,,,,,,,,,,0
2490452,2,2490452,Serpentinomonas,"",bacteria,false,,,,,,,,,,,,,,,,3.090483166138194,1,,,93.8,48.0,10^-22.1805,,,,,[1458425],0
1458425,1,2490452,Serpentinomonas raichei,"",bacteria,false,,,,,,,,,,,,,,,,3.090483166138194,1,,,93.8,48.0,10^-22.1805,,,,,,0
2338589,2,2338589,Anaretella,"",eukaryota,false,,,,15.45241583069097,5,1,4,97.4408,294.2,10^-147.874,,,,,,,,,,,,,,,,,[2338590],0
2338590,1,2338589,Anaretella iola,"",eukaryota,false,,,,15.45241583069097,5,1,4,97.4408,294.2,10^-147.874,,,,,,,,,,,,,,,,,,0
2291009,2,2291009,Megafenestra,"",eukaryota,false,,,,3.090483166138194,1,,,83.333,102.0,10^-33.7317,,,,,,,,,,,,,,,,,[2291010],0
2291010,1,2291009,Megafenestra aurita,"",eukaryota,false,,,,3.090483166138194,1,,,83.333,102.0,10^-33.7317,,,,,,,,,,,,,,,,,,0
2069291,2,2069291,Abscondita,"",eukaryota,false,,,,,,,,,,,,,,,,37.08579799365833,12,,,75.943,61.75,10^-21.0711,,,,,[2069292],0
2069292,1,2069291,Abscondita terminalis,"",eukaryota,false,,,,,,,,,,,,,,,,37.08579799365833,12,,,75.943,61.75,10^-21.0711,,,,,,0
2058189,2,2058189,Heterostelium,"",eukaryota,false,,,,6.180966332276388,2,,,88.3265,38.5,10^-7.73671,,,,,,,,,,,,,,,,,[2086695],0
2086695,1,2058189,Heterostelium album,"",eukaryota,false,,,,6.180966332276388,2,,,88.3265,38.5,10^-7.73671,,,,,,,,,,,,,,,,,,0
2055673,2,2055673,Stetholus,"",eukaryota,false,,,,6.180966332276388,2,,,85.52,221.0,10^-58.2007,,,,,,,,,,,,,,,,,[2055674],0
2055674,1,2055673,Stetholus sp. CSR094,"",eukaryota,false,,,,6.180966332276388,2,,,85.52,221.0,10^-58.2007,,,,,,,,,,,,,,,,,,0
2035349,2,2035349,Oceanispirochaeta,"",bacteria,false,,,,6.180966332276388,2,,,88.707,129.0,10^-54.9033,,,,,,,,,,,,,,,,,[2518645],0
2518645,1,2035349,Oceanispirochaeta crateris,"",bacteria,false,,,,6.180966332276388,2,,,88.707,129.0,10^-54.9033,,,,,,,,,,,,,,,,,,0
2015172,2,2015172,Ooceraea,"",eukaryota,false,,,,,,,,,,,,,,,,12.361932664552777,4,,,87.6905,73.0,10^-36.4677,,,,,[2015173],0
2015173,1,2015172,Ooceraea biroi,clonal raider ant,eukaryota,false,,,,,,,,,,,,,,,,12.361932664552777,4,,,87.6905,73.0,10^-36.4677,,,,,,0
1985927,2,1985927,Ignelater,"",eukaryota,false,,,,,,,,,,,,,,,,27.814348495243745,9,1,4,69.3787,50.4444,10^-15.0101,,,,,[2038154],0
2038154,1,1985927,Ignelater luminosus,"",eukaryota,false,,,,,,,,,,,,,,,,27.814348495243745,9,1,4,69.3787,50.4444,10^-15.0101,,,,,,0
